invoice_number,invoice_number_bbox,issue_date,issue_date_bbox,total,total_bbox,table,table_bbox,title
30037,"[1492, 177, 1570, 197]",DEC03,"[1487, 242, 1572, 263]","8,385.00","[882, 1809, 962, 1828]","Item Description Qty. Unit Price Ext. Price
AEROCHAIR - E1 Aero Executive Tile Chair 5 $500.00 $2,500.00
CHAIR - SW4 Office Chair - Swivel Grey 4 Units $478.00 $1,912.00
CHAIR - SW4 Office Chair - Swivel Grey 5 $699.00 $3,495.00","[451, 960, 1670, 1730]",01AR_print_inv.jpg
123456789WDF,"[196, 1701, 440, 1728]",14 Sept 2017,"[1367, 1702, 1563, 1730]",£918.00,"[2197, 3010, 2308, 3038]","Item Description Qty. Total
Samsung Galaxy Note 8 (SM-N950FZKABTU), 64GB, Black 1 £724.17 £765.00
Samsung Galaxy Note 8 Clear View Standing Cover (EF-ZN950CNEGWW), Deep Blue 1 £40.83 £153.00","[667, 2253, 1079, 2430]",creating-invoices-on-excel.png
00121,"[659, 77, 696, 89]","April 8, 2015","[45, 293, 124, 306]",$270.00,"[637, 605, 691, 618]","Description Qty Unit Price Total
Brochure Design 1.00 $50.00 $50.00
Pamphlet Design 1.00 $100.00 $100.00
Web Banner Design 1.00 $120.00 $120.00","[55, 347, 569, 422]",Samsung Invoice.jpg
CT000000001,"[319, 129, 408, 138]","October 10, 2020","[40, 129, 147, 138]","€1,20,000.00","[609, 703, 684, 712]","ITEM NAME QTY PRICE / DISCOUNT / GST AMOUNT
Back-end services 80 hrs * 2000.00 €70.00
AWS Maintenance and set-up 40 hrs * 2000.00 €70.00","[45, 498, 685, 608]",e1a0ba8226a03551145610bd34968cc5.jpg
SOtt306386,"[1671, 526, 1803, 542]",,,"$4,763.45","[2155, 2413, 2244, 2431]","WOVEN BACKPACK 100 % NYLON 10 $ 48.11
WOVEN TRAVEL LUGGAGE 100 % NYLON 11 $ 120.28
WOVEN BACKPACK 100 % NYLON 1 $ 61.96
WOVEN SHOULDER BAG 100 % NYLON 1 $ 33.53
WOVN SUNG BAG 100 % NYION 3 $ 48.11
WOVEN BACKPACK 100 % NYLON 4 $ 61.96
WOVEN BACKPACK 100 % NYLON 20 $ 80.92
WOVEN LARGE POUCH 100 % NYLON 1 $ 11.66
WOVEN CUFF CASE 100 % NYLON 25 $ 8.38
WOVEN BDTTLE CARRIER 100 % NYLON 3 $ 11.67
WOVEN SINGLE GUN CASE 100 % NYLON 6 $ 14.58
WOVEN HOLSTER POUCH 100 % NYLON 1 $ 9.48
WOVEN KNEE PADS 100 % NYLON 1 $ 6.20
TAC - AK2 LEATHER GLOVES 100 % NYLON 5 $ 24.06
MN GOATSKIN GLOVES 100 % NYLON 1 $ 34.26
BELT SUPPORT PLATE WOVEN CARBON FIBER 6 $ 43.74
TDU BELT 1.75"" 100 % NYLON / PLASTIC BUCKLE 8 $ 8.38
TDU SELT 1.75"" 100 % NVLON / PLASTIC BUCKLE 1 $ 9.84","[297, 1039, 2006, 1686]",excel-ss.png
567,"[523, 242, 529, 252]",7/9/2015,"[686, 242, 736, 252]",$349.85,"[742, 572, 780, 581]","Description Quantity Rate Amount
Pilot Training 05 $49.99 $249.95
Preflight Briefing 05 $09.99 $49.95
Post Flight Briefing and Evaluation 05 $09.99 $49.95","[53, 406, 780, 543]",image-414 (1).png
204,"[29, 51, 45, 61]",19-Nov-20,"[272, 99, 319, 108]","€ 62,000.00","[434, 476, 486, 486]","SI No. Description of Goods Quantity Rate per Amount
1 Asus 16.6 inch Monitor 10 Nos 6,200.00 Nos 62,000.00","[19, 273, 485, 313]",Commercial-Invoice-2.1_1_ysej-7r.jpg
S1405G202003283,"[454, 1007, 597, 1020]",2020-03-07,"[630, 535, 699, 545]",10816.98,"[712, 1931, 769, 1940]",Parts / OP code 1 Labour and Services 5 HYUNDAI 4 Part Invoice S1405G202003284 2 1 2 1 2 1 HYUNDAI 5 Labour 6 58101A0A50 319224H001 263202A501 28113A0200 NPNSYNTHIOCL A10AASPMVAS3M Observation Team-BHP.com scpyright respective ownere Pending Jobs Mileage 29191 Reg No TN07CP1312 VIN MALC381ULHM314503 Part Labor Description Place of Supply TAMIL NADU Mobile No 9884179606 FILTER CARTRIDGE PAD KIT - FRONT DISC BRAKE FILTER - AIR CLEANER Invoice SERVICE KIT - OIL FILTER Invoice Summary SYNTHETIC ENGINE OIL IOCL EGR cleaner A10AAVH6PDFOC Pick & Drop on FOC For Kun Auto Company Pvt Ltd (Authorized Signatory) Service Pro Large A10AAECLVASWT A10AAEGRVASEB A10AAGM01PMSS Periodic Maintenance Service (PMS) A10AAOT29DRYW Dry wash (FOC) Sub Total Coupon Discount Discount AMC Discount Kun Auto Company Pvt Ltd $ ARUNACHALAPURAM NO 5 ADYAR Labour Invoice Engine Cleaning / Dressing Large Tel No 42995949 Fax No 42995949-044 GST No 33AAACK8991K1Z2 Bill No B202001676 Total Date 17 R O No R202001621 Payment Credit Grand Total Email ID m.vinod.pro@gmail.com For Updation of your contact details in our records please call Hyundai Call Center 1800114645 HSN / SAC Tax % Qty Rate / Unit Disc Amt 87083000 14 % 1 84219900 9 84212300 9 84213100 9 34031900 9 998729 0 % 998729 18 % CGST @ 9 % on Labor value of 4033 998729 18 % SGST @ 9 % on Labor value of 4033 998729 18 % CGST @ 9 % ON Part Value of 5967.72 SGST @ 9 % ON Part Value of 5967.72 1 998729 18 % 998729 CGST @ 14 % ON Part Value of 2949.21 1 SGST @ 14 % ON Part Value of 2949.21 1 5.3 0 % 0 0 0 0 0 0 0 0 0 0 0 0 Part Amount 271.18 8916.93 15576 703.38 1 1 1 1 1 1 10816.98 338 800 Special Comment The below mentioned Non - genuine Fitment may hamper your safety and / or Result in Poor Performance of your vehicle HMIL is not Responsible for any untoward incident due to the same Kindly return the vehicle to its Original Condition as per HMIL specification 0 400 0 0 Rupees Fifteen Thousand Five Hundred Seventy Six Rupees Only 0 0 0 0 0 0 362.97 362.97 Amount 2949.21 4758.94 1608.48 Labour Amount 360.15 271.18 3727.91 338 800 2495 0 400 0,"[127, 746, 803, 1905]",sample-invoice.png
38,"[251, 48, 263, 55]",19-Nov-20,"[369, 48, 417, 56]","€7,000.00","[435, 624, 481, 633]","Particulars Repairs and Maintenance Charges
Quantity Rate per Amount
7,000.00","[54, 227, 481, 237]",delivery-note.jpg
CODE0001,"[494, 246, 545, 255]",09/27/2018,"[406, 368, 459, 376]",200.00 USD,"[735, 665, 768, 672]","DESCRIPTION QTY WEIGHT RATE AMOUNT
INLAND FREIGHT 1.000 500.000 kg 200.00 200.00 USD","[351, 622, 768, 672]",Service.jpg
